document,focus_node,focus_type,focus_label,segment_id,segment_text,previous_segment_id,previous_segment_text,next_segment_id,next_segment_text,same_segment_entities,previous_segment_entities,next_segment_entities,current_hasParticipant,current_participationActors,current_resolution_status,audit_flag,original_review_status,original_reviewer_note,suggested_review_action,approved_target_xml_id,approved_basis,approved_confidence,participant_review_status,participant_reviewer_note
cab-001-004,https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s005_a004,leco:OrderAct,mandó,cab-001-004_s005,"2 de Septiembre 1547, se tratá lo relacionado a lo ausencia del teniente, quien se encuentra fuera de la ciudad, el señor gobernador mandó que a su llegada debia justificar la razón de su audencia.",cab-001-004_s004,"Se pidió a los diputados Juan Rodriguez, Diego de Paredes defender las causas de la ciudad.",cab-001-004_s006,En la reunión se habló de un caballo y una yegua que se dejan a cargo de Gómez de Cifuentes.,,person:person_cab-001-004_cab-001-004_s004_a002|Juan Rodriguez|same; person:person_cab-001-004_cab-001-004_s004_a003|Diego de Paredes|same,person:person_cab-001-004_cab-001-004_s006_a001|Gómez de Cifuentes|same,org:org_cab-001-004_cab-001-004_s002_a002|Justicia y Regimiento,,resolved,resolved_target_not_in_local_context_REVIEW,explicit_recoverable,"Propuesta para revisión: el segmento cab-001-004_s005 contiene persona(s), grupo(s) o institución(es) explícitamente vinculados al acto «mandó». Recuperar al menos un leco:hasParticipant desde la entidad ya anotada. No asignar un rol procesal más específico salvo evidencia textual.",El target actual no aparece en el segmento ni en sus vecinos: posible resolución heurística incorrecta.,,,,pending,
cab-001-004,https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s010_a004,leco:Presentation,presentó,cab-001-004_s010,En dicho Cabildo Martin de San Juan Alquacil presentó una petición para que se le descargue del oficio de carcelero negándoce la petición por los señores Justicia y Regimiento.,cab-001-004_s009,Don Pedro de Arevalo presentó una petición en la que se solicita un hierro para las vacas y otros ganados con el fin de herrarlos.,cab-001-004_s011,"Los señores Justicia y Regimiento acordaron nombrar por escribano público y de Cabildo a Don Juan de Padilla, mientras dure el señor Juan de Chinchillas fuera de la ciudad se firmo un documento en el que el señor Padilla recibe el escribano Chinchilla el cargo de Escribano comprometiendose a cumplir con sus obligaciones en el Cabildo.",org:org_cab-001-004_cab-001-004_s002_a001|Cabildo|before; person:person_cab-001-004_cab-001-004_s010_a002|Martin de San Juan|before; org:org_cab-001-004_cab-001-004_s002_a002|Justicia y Regimiento|after,person:person_cab-001-004_cab-001-004_s009_a001|Pedro de Arevalo|same,org:org_cab-001-004_cab-001-004_s002_a002|Justicia y Regimiento|same; org:org_cab-001-004_cab-001-004_s002_a001|Cabildo|same; person:person_cab-001-004_cab-001-004_s011_a006|Juan de Padilla|same; person:person_cab-001-004_cab-001-004_s011_a007|Juan de Chinchillas|same; org:org_cab-001-004_cab-001-004_s002_a001|Cabildo|same,person:person_cab-001-004_cab-001-004_s010_a002|Martin de San Juan,,resolved,resolved_same_segment_before,explicit_recoverable,"Propuesta para revisión: el segmento cab-001-004_s010 contiene persona(s), grupo(s) o institución(es) explícitamente vinculados al acto «presentó». Recuperar al menos un leco:hasParticipant desde la entidad ya anotada. No asignar un rol procesal más específico salvo evidencia textual.",Comprobar que la mención anterior al acto funciona realmente como actor/participante y no como autoridad/destinatario.,,,,pending,
cab-001-004,https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s010_a007,leco:Petition,petición,cab-001-004_s010,En dicho Cabildo Martin de San Juan Alquacil presentó una petición para que se le descargue del oficio de carcelero negándoce la petición por los señores Justicia y Regimiento.,cab-001-004_s009,Don Pedro de Arevalo presentó una petición en la que se solicita un hierro para las vacas y otros ganados con el fin de herrarlos.,cab-001-004_s011,"Los señores Justicia y Regimiento acordaron nombrar por escribano público y de Cabildo a Don Juan de Padilla, mientras dure el señor Juan de Chinchillas fuera de la ciudad se firmo un documento en el que el señor Padilla recibe el escribano Chinchilla el cargo de Escribano comprometiendose a cumplir con sus obligaciones en el Cabildo.",org:org_cab-001-004_cab-001-004_s002_a001|Cabildo|before; person:person_cab-001-004_cab-001-004_s010_a002|Martin de San Juan|before; org:org_cab-001-004_cab-001-004_s002_a002|Justicia y Regimiento|after,person:person_cab-001-004_cab-001-004_s009_a001|Pedro de Arevalo|same,org:org_cab-001-004_cab-001-004_s002_a002|Justicia y Regimiento|same; org:org_cab-001-004_cab-001-004_s002_a001|Cabildo|same; person:person_cab-001-004_cab-001-004_s011_a006|Juan de Padilla|same; person:person_cab-001-004_cab-001-004_s011_a007|Juan de Chinchillas|same; org:org_cab-001-004_cab-001-004_s002_a001|Cabildo|same,person:person_cab-001-004_cab-001-004_s010_a002|Martin de San Juan,,resolved,resolved_same_segment_before,explicit_recoverable,"Propuesta para revisión: el segmento cab-001-004_s010 contiene persona(s), grupo(s) o institución(es) explícitamente vinculados al acto «petición». Recuperar al menos un leco:hasParticipant desde la entidad ya anotada. No asignar un rol procesal más específico salvo evidencia textual.",Comprobar que la mención anterior al acto funciona realmente como actor/participante y no como autoridad/destinatario.,,,,pending,
cab-001-004,https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s003_a001,leco:GrantOfPower,poder,cab-001-004_s003,"Se dió un poder a Hernan Suárez de Villalobos,para que apelara en la Audencia los contenidos del auto que contenian nuevas leyes que afectan a los indios y la tributación del maiz y otras cosas que sacan delas granjas.",cab-001-004_s002,"En este Cabildo los señores Justicia y Regimiento dijeron que por el pregón de un auto que se realizó, donde se mandó hacer la despedida del señor Gobernador por parte de los vecinos del Repartimiento, ya no fueran a tal acto.",cab-001-004_s004,"Se pidió a los diputados Juan Rodriguez, Diego de Paredes defender las causas de la ciudad.",person:person_cab-001-004_cab-001-004_s003_a002|Hernan Suárez de Villalobos|after,org:org_cab-001-004_cab-001-004_s002_a001|Cabildo|same; org:org_cab-001-004_cab-001-004_s002_a002|Justicia y Regimiento|same,person:person_cab-001-004_cab-001-004_s004_a002|Juan Rodriguez|same; person:person_cab-001-004_cab-001-004_s004_a003|Diego de Paredes|same,person:person_cab-001-004_cab-001-004_s003_a002|Hernan Suárez de Villalobos,,resolved,resolved_same_segment_after_REVIEW,explicit_recoverable,"Propuesta para revisión: el segmento cab-001-004_s003 contiene persona(s), grupo(s) o institución(es) explícitamente vinculados al acto «poder». Recuperar al menos un leco:hasParticipant desde la entidad ya anotada. No asignar un rol procesal más específico salvo evidencia textual.",Target situado después del acto: revisar especialmente; puede ser objeto/destinatario y no participante actoral.,,,,pending,
cab-001-004,https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s002_a003,leco:Proclamation,pregón,cab-001-004_s002,"En este Cabildo los señores Justicia y Regimiento dijeron que por el pregón de un auto que se realizó, donde se mandó hacer la despedida del señor Gobernador por parte de los vecinos del Repartimiento, ya no fueran a tal acto.",cab-001-004_s001,"Tunja, 26 de Septimbre 1547.",cab-001-004_s003,"Se dió un poder a Hernan Suárez de Villalobos,para que apelara en la Audencia los contenidos del auto que contenian nuevas leyes que afectan a los indios y la tributación del maiz y otras cosas que sacan delas granjas.",org:org_cab-001-004_cab-001-004_s002_a001|Cabildo|before; org:org_cab-001-004_cab-001-004_s002_a002|Justicia y Regimiento|before,,person:person_cab-001-004_cab-001-004_s003_a002|Hernan Suárez de Villalobos|same,,,unresolved,unresolved,contextual_inference,"Propuesta para revisión: el participante de «pregón» no queda como sujeto inequívoco en cab-001-004_s002, pero puede inferirse por continuidad gramatical/institucional. Revisar el contexto inmediato y, si se acepta, registrar la relación como inferida con evidencia y confianza.","Revisar candidatos del mismo segmento y, si no bastan, el contexto anterior/posterior.",,,,pending,
cab-001-004,https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s008_a004,leco:RepartimientoAct,repartimientos,cab-001-004_s008,Se presentó un mandamiento del señor Gobernador para que se hagan los repartimientos de esta ciudad.,cab-001-004_s007,"En este Cabildo se presentó Juan de la Peña con una petición para que se coloque remedio a la carcel, 10 de Octubre 1547.",cab-001-004_s009,Don Pedro de Arevalo presentó una petición en la que se solicita un hierro para las vacas y otros ganados con el fin de herrarlos.,,org:org_cab-001-004_cab-001-004_s002_a001|Cabildo|same; person:person_cab-001-004_cab-001-004_s007_a003|Juan de la Peña|same,person:person_cab-001-004_cab-001-004_s009_a001|Pedro de Arevalo|same,,,unresolved,unresolved,explicit_recoverable,"Propuesta para revisión: el segmento cab-001-004_s008 contiene persona(s), grupo(s) o institución(es) explícitamente vinculados al acto «repartimientos». Recuperar al menos un leco:hasParticipant desde la entidad ya anotada. No asignar un rol procesal más específico salvo evidencia textual.","Revisar candidatos del mismo segmento y, si no bastan, el contexto anterior/posterior.",,,,pending,
cab-001-004,https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s007_a002,leco:Presentation,presentó,cab-001-004_s007,"En este Cabildo se presentó Juan de la Peña con una petición para que se coloque remedio a la carcel, 10 de Octubre 1547.",cab-001-004_s006,En la reunión se habló de un caballo y una yegua que se dejan a cargo de Gómez de Cifuentes.,cab-001-004_s008,Se presentó un mandamiento del señor Gobernador para que se hagan los repartimientos de esta ciudad.,org:org_cab-001-004_cab-001-004_s002_a001|Cabildo|before; person:person_cab-001-004_cab-001-004_s007_a003|Juan de la Peña|after,person:person_cab-001-004_cab-001-004_s006_a001|Gómez de Cifuentes|same,,person:person_cab-001-004_cab-001-004_s007_a003|Juan de la Peña,,resolved,resolved_same_segment_after_REVIEW,explicit_recoverable,"Propuesta para revisión: el segmento cab-001-004_s007 contiene persona(s), grupo(s) o institución(es) explícitamente vinculados al acto «presentó». Recuperar al menos un leco:hasParticipant desde la entidad ya anotada. No asignar un rol procesal más específico salvo evidencia textual.",Target situado después del acto: revisar especialmente; puede ser objeto/destinatario y no participante actoral.,,,,pending,
cab-001-004,https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s008_a001,leco:Presentation,presentó,cab-001-004_s008,Se presentó un mandamiento del señor Gobernador para que se hagan los repartimientos de esta ciudad.,cab-001-004_s007,"En este Cabildo se presentó Juan de la Peña con una petición para que se coloque remedio a la carcel, 10 de Octubre 1547.",cab-001-004_s009,Don Pedro de Arevalo presentó una petición en la que se solicita un hierro para las vacas y otros ganados con el fin de herrarlos.,,org:org_cab-001-004_cab-001-004_s002_a001|Cabildo|same; person:person_cab-001-004_cab-001-004_s007_a003|Juan de la Peña|same,person:person_cab-001-004_cab-001-004_s009_a001|Pedro de Arevalo|same,,,unresolved,unresolved,keep_warning,Propuesta para revisión: en cab-001-004_s008 no se identifica un participante concreto e inequívoco para «presentó». Mantener el warning; no crear una persona o grupo genérico solo para completar SHACL.,"Revisar candidatos del mismo segmento y, si no bastan, el contexto anterior/posterior.",,,,pending,
cab-001-004,https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s007_a004,leco:Petition,petición,cab-001-004_s007,"En este Cabildo se presentó Juan de la Peña con una petición para que se coloque remedio a la carcel, 10 de Octubre 1547.",cab-001-004_s006,En la reunión se habló de un caballo y una yegua que se dejan a cargo de Gómez de Cifuentes.,cab-001-004_s008,Se presentó un mandamiento del señor Gobernador para que se hagan los repartimientos de esta ciudad.,org:org_cab-001-004_cab-001-004_s002_a001|Cabildo|before; person:person_cab-001-004_cab-001-004_s007_a003|Juan de la Peña|before,person:person_cab-001-004_cab-001-004_s006_a001|Gómez de Cifuentes|same,,person:person_cab-001-004_cab-001-004_s007_a003|Juan de la Peña,,resolved,resolved_same_segment_before,explicit_recoverable,"Propuesta para revisión: el segmento cab-001-004_s007 contiene persona(s), grupo(s) o institución(es) explícitamente vinculados al acto «petición». Recuperar al menos un leco:hasParticipant desde la entidad ya anotada. No asignar un rol procesal más específico salvo evidencia textual.",Comprobar que la mención anterior al acto funciona realmente como actor/participante y no como autoridad/destinatario.,,,,pending,
cab-001-004,https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s002_a005,leco:OrderAct,mandó,cab-001-004_s002,"En este Cabildo los señores Justicia y Regimiento dijeron que por el pregón de un auto que se realizó, donde se mandó hacer la despedida del señor Gobernador por parte de los vecinos del Repartimiento, ya no fueran a tal acto.",cab-001-004_s001,"Tunja, 26 de Septimbre 1547.",cab-001-004_s003,"Se dió un poder a Hernan Suárez de Villalobos,para que apelara en la Audencia los contenidos del auto que contenian nuevas leyes que afectan a los indios y la tributación del maiz y otras cosas que sacan delas granjas.",org:org_cab-001-004_cab-001-004_s002_a001|Cabildo|before; org:org_cab-001-004_cab-001-004_s002_a002|Justicia y Regimiento|before,,person:person_cab-001-004_cab-001-004_s003_a002|Hernan Suárez de Villalobos|same,,,unresolved,unresolved,contextual_inference,"Propuesta para revisión: el participante de «mandó» no queda como sujeto inequívoco en cab-001-004_s002, pero puede inferirse por continuidad gramatical/institucional. Revisar el contexto inmediato y, si se acepta, registrar la relación como inferida con evidencia y confianza.","Revisar candidatos del mismo segmento y, si no bastan, el contexto anterior/posterior.",,,,pending,
cab-001-004,https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s009_a002,leco:Presentation,presentó,cab-001-004_s009,Don Pedro de Arevalo presentó una petición en la que se solicita un hierro para las vacas y otros ganados con el fin de herrarlos.,cab-001-004_s008,Se presentó un mandamiento del señor Gobernador para que se hagan los repartimientos de esta ciudad.,cab-001-004_s010,En dicho Cabildo Martin de San Juan Alquacil presentó una petición para que se le descargue del oficio de carcelero negándoce la petición por los señores Justicia y Regimiento.,person:person_cab-001-004_cab-001-004_s009_a001|Pedro de Arevalo|before,,org:org_cab-001-004_cab-001-004_s002_a001|Cabildo|same; person:person_cab-001-004_cab-001-004_s010_a002|Martin de San Juan|same; org:org_cab-001-004_cab-001-004_s002_a002|Justicia y Regimiento|same,person:person_cab-001-004_cab-001-004_s009_a001|Pedro de Arevalo,,resolved,resolved_same_segment_before,explicit_recoverable,"Propuesta para revisión: el segmento cab-001-004_s009 contiene persona(s), grupo(s) o institución(es) explícitamente vinculados al acto «presentó». Recuperar al menos un leco:hasParticipant desde la entidad ya anotada. No asignar un rol procesal más específico salvo evidencia textual.",Comprobar que la mención anterior al acto funciona realmente como actor/participante y no como autoridad/destinatario.,,,,pending,
cab-001-004,https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s002_a008,leco:RepartimientoAct,Repartimiento,cab-001-004_s002,"En este Cabildo los señores Justicia y Regimiento dijeron que por el pregón de un auto que se realizó, donde se mandó hacer la despedida del señor Gobernador por parte de los vecinos del Repartimiento, ya no fueran a tal acto.",cab-001-004_s001,"Tunja, 26 de Septimbre 1547.",cab-001-004_s003,"Se dió un poder a Hernan Suárez de Villalobos,para que apelara en la Audencia los contenidos del auto que contenian nuevas leyes que afectan a los indios y la tributación del maiz y otras cosas que sacan delas granjas.",org:org_cab-001-004_cab-001-004_s002_a001|Cabildo|before; org:org_cab-001-004_cab-001-004_s002_a002|Justicia y Regimiento|before,,person:person_cab-001-004_cab-001-004_s003_a002|Hernan Suárez de Villalobos|same,,,unresolved,unresolved,needs_review,"Propuesta para revisión: cab-001-004_s002 menciona actores o afectados, pero no es inequívoco que correspondan al acto «Repartimiento» tal como está tipado. Revisar primero la segmentación/tipo de evento antes de enlazar participantes.","Revisar candidatos del mismo segmento y, si no bastan, el contexto anterior/posterior.",,,,pending,
cab-001-006,https://w3id.org/leco/data/co-ahrb-cab-001-d006/event_cab-001-006_cab-001-006_s006_a001,leco:RepartimientoAct,repartimientos,cab-001-006_s006,Finalmente; seguir autorizando los repartimientos de tierras e Indios a los primeros descubridores y conquistadores del Nuevo Reino de Granada.,cab-001-006_s005,"Por cuanto es costumbre de los gobernantes del Reino y de las justicias, se pregona las penas contra los Indios, Suspenderlos, castigarlos por causar problemas con los vecinos de la ciudad dónde se fiel cumplimiento a esta carta Real Provisión.",cab-001-006_s007,"Los miembros del Cabildo acordaron, dar cumplimiento a lo acordado, en la Real Provisión .",,,org:org_cab-001-006_cab-001-006_s007_a001|Cabildo|same,,,unresolved,unresolved,explicit_recoverable,"Propuesta para revisión: el segmento cab-001-006_s006 contiene persona(s), grupo(s) o institución(es) explícitamente vinculados al acto «repartimientos». Recuperar al menos un leco:hasParticipant desde la entidad ya anotada. No asignar un rol procesal más específico salvo evidencia textual.","Revisar candidatos del mismo segmento y, si no bastan, el contexto anterior/posterior.",,,,pending,
