document,severity,source_shape,constraint,result_path,message,count
cab-001-006,Warning,_:nf1a2bb467bce4b92adbb00c89036e6f6b10,sh:MinCountConstraintComponent,leco:decidedBy,No se ha identificado quién decidió esta decisión jurídica.,3
cab-001-006,Warning,_:nf1a2bb467bce4b92adbb00c89036e6f6b14,sh:MinCountConstraintComponent,leco:sanctions,No se ha identificado el actor sancionado.,3
cab-001-006,Warning,_:nf1a2bb467bce4b92adbb00c89036e6f6b4,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",5
cab-001-007,Warning,_:nef07aa323a9641dbbabb18611c52a066b9,sh:MinCountConstraintComponent,leco:appealsAgainst,No se ha identificado la decisión apelada.,1
cab-001-007,Warning,_:nef07aa323a9641dbbabb18611c52a066b12,sh:MinCountConstraintComponent,leco:beforeAuthority,No se ha identificado la autoridad ante la cual se presenta la apelación.,1
cab-001-007,Warning,_:nef07aa323a9641dbbabb18611c52a066b3,sh:MinCountConstraintComponent,leco:createsRepresentation,El otorgamiento de poder no está enlazado todavía con una relación de representación.,2
cab-001-007,Warning,_:nef07aa323a9641dbbabb18611c52a066b5,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",3
cab-001-008,Warning,_:nbbd4eb3d36ab494780fb3796ed85b561b3,sh:MinCountConstraintComponent,leco:appointsPerson,No se ha identificado la persona nombrada.,1
cab-001-008,Warning,_:nbbd4eb3d36ab494780fb3796ed85b561b7,sh:MinCountConstraintComponent,leco:appointsToOffice,No se ha identificado el oficio al que se realiza el nombramiento.,1
cab-001-008,Warning,_:nbbd4eb3d36ab494780fb3796ed85b561b5,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",3
cab-001-011,Warning,https://w3id.org/leco/shapes/quality#JurisdictionalActParticipantQualityShape,sh:OrConstraintComponent,,No se ha identificado ningún participante del acto. Mantener como incompletitud si la fuente no permite establecerlo.,1
cab-001-011,Warning,_:n5bb9d82526114b90b5162b00b1fc6eacb3,sh:MinCountConstraintComponent,leco:decidedBy,No se ha identificado quién decidió esta decisión jurídica.,1
cab-001-011,Warning,_:n5bb9d82526114b90b5162b00b1fc6eacb5,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",5
cab-001-012,Warning,_:nd6a203e56e15408fa73ab467229ff187b5,sh:MinCountConstraintComponent,leco:createsRepresentation,El otorgamiento de poder no está enlazado todavía con una relación de representación.,1
cab-001-012,Warning,_:nd6a203e56e15408fa73ab467229ff187b10,sh:MinCountConstraintComponent,leco:sanctions,No se ha identificado el actor sancionado.,1
cab-001-012,Warning,_:nd6a203e56e15408fa73ab467229ff187b3,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",4
cab-001-016,Warning,https://w3id.org/leco/shapes/quality#JurisdictionalActParticipantQualityShape,sh:OrConstraintComponent,,No se ha identificado ningún participante del acto. Mantener como incompletitud si la fuente no permite establecerlo.,1
cab-001-016,Warning,_:nac14b9bd7ecd49efbd6cde74cdd947dbb3,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",6
cab-001-018,Warning,https://w3id.org/leco/shapes/quality#JurisdictionalActParticipantQualityShape,sh:OrConstraintComponent,,No se ha identificado ningún participante del acto. Mantener como incompletitud si la fuente no permite establecerlo.,2
cab-001-018,Warning,_:n9cf034bac5da4521a3e5eb996756c3cdb3,sh:MinCountConstraintComponent,leco:createsRepresentation,El otorgamiento de poder no está enlazado todavía con una relación de representación.,1
cab-001-018,Warning,_:n9cf034bac5da4521a3e5eb996756c3cdb11,sh:MinCountConstraintComponent,leco:decidedBy,No se ha identificado quién decidió esta decisión jurídica.,1
cab-001-018,Warning,_:n9cf034bac5da4521a3e5eb996756c3cdb9,sh:MinCountConstraintComponent,leco:sanctions,No se ha identificado el actor sancionado.,1
cab-001-018,Warning,_:n9cf034bac5da4521a3e5eb996756c3cdb6,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",3
cab-001-019,Warning,https://w3id.org/leco/shapes/quality#JurisdictionalActParticipantQualityShape,sh:OrConstraintComponent,,No se ha identificado ningún participante del acto. Mantener como incompletitud si la fuente no permite establecerlo.,2
cab-001-019,Warning,_:n99f996bb11844076b874d2a7feee9a24b3,sh:MinCountConstraintComponent,leco:appealsAgainst,No se ha identificado la decisión apelada.,1
cab-001-019,Warning,_:n99f996bb11844076b874d2a7feee9a24b7,sh:MinCountConstraintComponent,leco:beforeAuthority,No se ha identificado la autoridad ante la cual se presenta la apelación.,1
cab-001-019,Warning,_:n99f996bb11844076b874d2a7feee9a24b18,sh:MinCountConstraintComponent,leco:createsRepresentation,El otorgamiento de poder no está enlazado todavía con una relación de representación.,1
cab-001-019,Warning,_:n99f996bb11844076b874d2a7feee9a24b12,sh:MinCountConstraintComponent,leco:decidedBy,No se ha identificado quién decidió esta decisión jurídica.,1
cab-001-019,Warning,_:n99f996bb11844076b874d2a7feee9a24b14,sh:MinCountConstraintComponent,leco:sanctions,No se ha identificado el actor sancionado.,1
cab-001-019,Warning,_:n99f996bb11844076b874d2a7feee9a24b5,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",5
cab-001-038,Warning,https://w3id.org/leco/shapes/quality#JurisdictionalActParticipantQualityShape,sh:OrConstraintComponent,,No se ha identificado ningún participante del acto. Mantener como incompletitud si la fuente no permite establecerlo.,4
cab-001-038,Warning,_:n7035e0b0e12b4c4fa7aaa2cd18d8c5cab3,sh:MinCountConstraintComponent,leco:createsRepresentation,El otorgamiento de poder no está enlazado todavía con una relación de representación.,1
cab-001-038,Warning,_:n7035e0b0e12b4c4fa7aaa2cd18d8c5cab15,sh:MinCountConstraintComponent,leco:decidedBy,No se ha identificado quién decidió esta decisión jurídica.,1
cab-001-038,Warning,_:n7035e0b0e12b4c4fa7aaa2cd18d8c5cab20,sh:MinCountConstraintComponent,leco:sanctions,No se ha identificado el actor sancionado.,1
cab-001-038,Warning,_:n7035e0b0e12b4c4fa7aaa2cd18d8c5cab6,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",9
cab-001-039,Warning,_:n562a3c2277d24dbbaae30a47fcf965beb3,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",7
cab-001-040,Warning,https://w3id.org/leco/shapes/quality#JurisdictionalActParticipantQualityShape,sh:OrConstraintComponent,,No se ha identificado ningún participante del acto. Mantener como incompletitud si la fuente no permite establecerlo.,1
cab-001-040,Warning,_:n3821c8b2a1674503a07f5e518490c7a0b6,sh:MinCountConstraintComponent,leco:createsRepresentation,El otorgamiento de poder no está enlazado todavía con una relación de representación.,1
cab-001-040,Warning,_:n3821c8b2a1674503a07f5e518490c7a0b3,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",2
cab-001-042,Warning,https://w3id.org/leco/shapes/quality#JurisdictionalActParticipantQualityShape,sh:OrConstraintComponent,,No se ha identificado ningún participante del acto. Mantener como incompletitud si la fuente no permite establecerlo.,2
cab-001-042,Warning,_:n78af407de5214f3d8510bc8375071a62b7,sh:MinCountConstraintComponent,leco:decidedBy,No se ha identificado quién decidió esta decisión jurídica.,1
cab-001-042,Warning,_:n78af407de5214f3d8510bc8375071a62b3,sh:MinCountConstraintComponent,leco:sanctions,No se ha identificado el actor sancionado.,1
cab-001-042,Warning,_:n78af407de5214f3d8510bc8375071a62b5,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",5
cab-001-046,Warning,https://w3id.org/leco/shapes/quality#JurisdictionalActParticipantQualityShape,sh:OrConstraintComponent,,No se ha identificado ningún participante del acto. Mantener como incompletitud si la fuente no permite establecerlo.,1
cab-001-046,Warning,_:ne2111bc23d3a4e5ca5c562b60d72edc9b3,sh:MinCountConstraintComponent,leco:conceptUseJurisdiction,El uso del concepto histórico no tiene todavía contexto jurisdiccional identificado.,1
cab-001-046,Warning,_:ne2111bc23d3a4e5ca5c562b60d72edc9b5,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",3
cab-001-055,Warning,https://w3id.org/leco/shapes/quality#JurisdictionalActParticipantQualityShape,sh:OrConstraintComponent,,No se ha identificado ningún participante del acto. Mantener como incompletitud si la fuente no permite establecerlo.,1
cab-001-055,Warning,_:nd6176cb4673e42ecb168fedd015e99bdb3,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",5
cab-001-056,Warning,_:na7b677a132c147858575b1c5b2c376dfb3,sh:MinCountConstraintComponent,leco:sanctions,No se ha identificado el actor sancionado.,1
